Date,Open,High,Low,Close,Volume,Adj Close
1/29/2010,5800,5848,5700,5801.2,8300,5712.2
1/28/2010,5788,5909,5691,5760.85,18300,5672.47
1/27/2010,6050,6104.9,5600,5682.7,9200,5595.52
1/26/2010,6043.25,6043.25,6043.25,6043.25,0,5950.54
1/25/2010,6088,6124,6020.05,6043.25,2900,5950.54
1/22/2010,6075.85,6150,6005,6043.25,8000,5950.54
1/21/2010,6190,6240,6085,6111.35,5300,6017.59
1/20/2010,6295,6347.85,6154.05,6174.2,5800,6079.48
1/19/2010,6399,6451,6240,6286.75,6800,6190.3
1/18/2010,6425,6490,6330,6377.2,13000,6279.37
1/15/2010,6595,6595,6375,6406.75,23900,6308.46
1/14/2010,6140.1,6480,6140,6448.9,49200,6349.96
1/13/2010,6100,6135,6051.1,6101.35,4500,6007.75
1/12/2010,6160,6194.4,6070,6086.5,6200,5993.12
1/11/2010,6159,6256,6122,6146.35,7100,6052.06
1/8/2010,6274,6288.9,6140,6158.35,8600,6063.87
1/7/2010,6220,6362.2,6200,6220.25,26900,6124.82
1/6/2010,6189.9,6194,6050,6084.35,6500,5991.01
1/5/2010,6159.95,6250,6130,6148.9,9200,6054.57
1/4/2010,6100,6210.05,6031.15,6134.5,11100,6040.39
1/1/2010,6034,6034,6034,6034,0,5941.43
12/31/2009,6080,6137,6008,6034,6600,5941.43
12/30/2009,6040,6164,6022,6046.75,12900,5953.98
12/29/2009,6174.75,6200,5992,6029.35,11500,5936.85
12/28/2009,6180.9,6180.9,6180.9,6180.9,0,6086.08
12/25/2009,6180.9,6180.9,6180.9,6180.9,0,6086.08
12/24/2009,6230,6299,6120,6180.9,16500,6086.08
12/23/2009,6150,6299,6090,6199.1,27300,6104
12/22/2009,6000,6299,5900.5,6113.65,70700,6019.86
12/21/2009,6770,6899,6105,6166.8,129300,6072.19
12/18/2009,6385,6720,6236,6625.9,100100,6524.25
12/17/2009,5820,6440,5820,6372.55,57700,6274.79
12/16/2009,5875.75,5910,5810,5857.5,4400,5767.64
12/15/2009,5919.9,5942.9,5830.1,5856.15,3400,5766.31
12/14/2009,5875,6020,5845,5892.3,6200,5801.9
12/11/2009,5955,5974,5830,5851.6,4800,5761.83
12/10/2009,6200,6200,5893.1,5912.1,4000,5821.4
12/9/2009,5849,6049,5831.1,5900.45,8900,5809.93
12/8/2009,5925,5964.95,5825,5858.7,7300,5768.82
12/7/2009,6050,6115,5861,5874.7,6000,5784.57
12/4/2009,5989,6085,5985,6020.7,4400,5928.33
12/3/2009,6099,6099,5990,6010.1,3300,5917.9
12/2/2009,6100,6175,6050,6075.4,8400,5982.19
12/1/2009,6000,6138,5960,6095.05,9700,6001.54
11/30/2009,5940,6010,5925,5963.5,4500,5872.01
11/27/2009,5915,5935,5770,5878.6,8400,5788.41
11/26/2009,6062.2,6146.95,6000,6019.75,6200,5927.4
11/25/2009,6290,6290,6045,6062.2,7000,5969.2
11/24/2009,6300,6329.85,6161.55,6184.4,19100,6089.52
11/23/2009,6000,6325,6000,6181.25,31300,6086.42
11/20/2009,5910,5980,5840,5904.2,6100,5813.62
11/19/2009,6050,6080,5890,5903.4,4300,5812.83
11/18/2009,6009,6099,6009,6020.25,4600,5927.89
11/17/2009,6087,6144.4,5970,6009.15,6800,5916.96
11/16/2009,6200,6200,6018,6039.75,8300,5947.09
11/13/2009,5975,6218,5900,6149.4,22800,6055.06
11/12/2009,6049,6125,5921.35,5942.9,7800,5851.73
11/11/2009,5900,6147.7,5900,6016.7,11600,5924.4
11/10/2009,6000,6200,5900,5923.1,13600,5832.23
11/9/2009,6049.8,6173.7,5691,6009.1,25700,5916.91
11/6/2009,5630,6100,5590,5985.45,32400,5893.63
11/5/2009,5640,5670,5520,5581.5,14900,5495.87
11/4/2009,5685,5799,5430,5573.7,18900,5485.24
11/3/2009,5269,5715,5190,5553.7,18800,5465.56
11/2/2009,5280.2,5280.2,5280.2,5280.2,0,5196.4
10/30/2009,5490,5512,5184,5280.2,5200,5196.4
10/29/2009,5310,5499,5301,5372.9,6200,5287.62
10/28/2009,5510,5565,5354.1,5433.65,6500,5347.41
10/27/2009,5770,5799,5501,5519.35,6300,5431.75
10/26/2009,5898,5924,5740.1,5757.4,5500,5666.02
10/23/2009,5997,6049,5830,5858.3,7700,5765.32
10/22/2009,6110,6155,5900,5925.45,9000,5831.4
10/21/2009,6325,6325,6070,6100.1,14700,6003.28
10/20/2009,6150,6375,6000,6310.8,35700,6210.64
10/19/2009,6023.4,6023.4,6023.4,6023.4,0,5927.8
10/16/2009,6074,6149,6000,6023.4,8000,5927.8
10/15/2009,6170,6170,5933,6014.3,18000,5918.84
10/14/2009,6000,6260,6000,6085.45,39600,5988.87
10/13/2009,5942.15,5942.15,5942.15,5942.15,0,5847.84
10/12/2009,5519.55,6038,5511.5,5942.15,42600,5847.84
10/9/2009,5500,5620,5440,5471.1,10000,5384.27
10/8/2009,5590,5640,5455,5474.25,6300,5387.37
10/7/2009,5590,5720,5445.05,5482.85,11400,5395.83
10/6/2009,5495,5625,5415,5444.4,6700,5357.99
10/5/2009,5575,5660,5420,5442.45,5600,5356.07
10/2/2009,5625.05,5625.05,5625.05,5625.05,0,5535.77
10/1/2009,5730,5749,5611.25,5625.05,6600,5535.77
9/30/2009,5688.75,5825,5670,5739,13500,5647.91
9/29/2009,5600,5925,5515,5643.45,29100,5553.88
9/28/2009,5519.85,5519.85,5519.85,5519.85,0,5432.24
9/25/2009,5680,5825,5451,5519.85,25300,5432.24
9/24/2009,5180,5794,5160,5683.25,45700,5593.05
9/23/2009,5205,5285,5170,5180.35,2100,5098.13
9/22/2009,5245,5325,5150,5199.3,3100,5116.78
9/21/2009,5188.75,5188.75,5188.75,5188.75,0,5106.4
9/18/2009,5300,5300,5180,5188.75,2800,5106.4
9/17/2009,5340,5379,5185.1,5209.75,5200,5127.06
9/16/2009,5398,5420,5251,5289.6,3700,5205.65
9/15/2009,5399,5470,5300,5353.45,7800,5268.48
9/14/2009,5245.3,5529,5171.05,5329.65,19300,5245.06
9/11/2009,5320,5350,5072,5283.15,22000,5199.3
9/10/2009,5075,5405,5075,5139.05,35400,5057.49
9/9/2009,4502,5198.6,4482.7,4997.8,41300,4918.48
9/8/2009,4350,4490,4335.35,4457.2,17300,4386.46
9/7/2009,4450,4485,4280.05,4315.65,6400,4247.15
9/4/2009,4150,4485,4150,4396,13500,4326.23
9/3/2009,4275,4288.9,4138,4152.2,2600,4086.3
9/2/2009,4152.15,4289,4152.15,4244.05,3900,4176.69
9/1/2009,4300,4328.5,4150,4190.6,2500,4124.09
8/31/2009,4220,4410,4220,4301.2,3800,4232.93
8/28/2009,4355,4355,4251,4280.1,3000,4212.17
8/27/2009,4315,4352,4271.05,4290.7,1100,4222.6
8/26/2009,4374,4374,4255,4313.5,2200,4245.04
8/25/2009,4282,4370,4255,4324.6,1200,4255.96
8/24/2009,4360,4495,4292,4351.85,5700,4282.78
8/21/2009,4240,4387,4240,4289.2,2400,4221.12
8/20/2009,4237,4424.95,4100,4299,6500,4230.77
8/19/2009,4247,4265,4170.1,4184.1,1100,4117.69
8/18/2009,4181,4270,4181,4217.8,2200,4150.86
8/17/2009,4265,4338,4219,4228.75,2900,4161.63
8/14/2009,4300,4360,4250,4267.6,1600,4199.87
8/13/2009,4340,4385,4285,4313.2,3800,4244.74
8/12/2009,4200,4320,4185,4258.45,4200,4190.86
8/11/2009,4370,4370,4210,4248.9,3700,4181.46
8/10/2009,4521,4573.95,4300,4320.5,3500,4251.93
8/7/2009,4590,4634,4415,4471.05,2800,4400.09
8/6/2009,4655,4847.7,4625,4646.7,6300,4572.95
8/5/2009,4700,4722.95,4612,4659.55,2200,4582.64
8/4/2009,4535,4890,4535,4670.8,8400,4593.71
8/3/2009,4700,4700,4600,4620.65,3500,4544.39
7/31/2009,4771,4850,4600,4625.5,6700,4549.16
7/30/2009,4670,4923,4670,4717.9,14800,4640.03
7/29/2009,4687,4687,4331.25,4560.85,11800,4485.57
7/28/2009,4580,4947.7,4475.05,4647.6,35200,4570.89
7/27/2009,3825,4585.55,3731.1,4454.9,61700,4381.37
7/24/2009,3588,3865,3536.5,3821.3,11700,3758.23
7/23/2009,3379,3571,3379,3513.1,4800,3455.12
7/22/2009,3391,3485,3369,3379.05,1500,3323.28
7/21/2009,3385,3445,3320.05,3392.55,2200,3336.56
7/20/2009,3400,3445,3365,3374.15,1400,3318.46
7/17/2009,3264,3500,3264,3399.65,5000,3343.54
7/16/2009,3325,3371,3235,3252.85,2200,3199.16
7/15/2009,3287.7,3319.95,3222,3282.5,3900,3228.32
7/14/2009,3180,3232.75,3170,3203.5,1200,3150.63
7/13/2009,3230.1,3255,3105,3119.85,1700,3068.36
7/10/2009,3290,3450,3250,3281.65,3000,3227.49
7/9/2009,3227,3350,3212,3310.45,2600,3255.81
7/8/2009,3255,3325,3222,3245.25,1900,3191.69
7/7/2009,3439.7,3439.7,3301,3349.25,1900,3293.97
7/6/2009,3640,3669.9,3333,3370.95,4200,3315.31
7/3/2009,3630,3675,3562,3608.45,2700,3548.89
7/2/2009,3755,3980.4,3601,3680.4,23400,3619.65
7/1/2009,3375,3750,3315,3675.55,5900,3614.89
6/30/2009,3338,3400,3300,3381.7,1300,3325.88
6/29/2009,3320,3395,3320,3349.75,800,3294.46
6/26/2009,3346,3410,3301.05,3362.05,2100,3306.56
6/25/2009,3387.2,3439.95,3268,3298.3,1300,3243.86
6/24/2009,3289,3439,3262,3371.6,2200,3315.95
6/23/2009,3298,3310,3202,3220.35,2400,3167.2
6/22/2009,3370,3468,3303,3316.75,1500,3262.01
6/19/2009,3365,3551,3301,3383.55,6500,3327.7
6/18/2009,3470,3550,3301,3375.65,4000,3319.93
6/17/2009,3500,3825,3415,3468.9,17600,3411.65
6/16/2009,3310,3455.55,3222.15,3450,3500,3393.06
6/15/2009,3435,3450,3301,3306.05,800,3251.48
6/12/2009,3477.1,3548.5,3403,3423.55,2900,3367.04
6/11/2009,3500,3550,3420.05,3502.75,1500,3444.94
6/10/2009,3511,3650,3454.8,3493.8,3100,3436.13
6/9/2009,3351,3599.9,3350,3499.95,4500,3442.18
6/8/2009,3630,3650,3405.05,3459.2,7000,3402.11
6/5/2009,3405,3485,3350.55,3375.25,1600,3319.54
6/4/2009,3430,3500,3371.05,3420.55,3700,3364.09
6/3/2009,3250,3475,3240,3422.4,5900,3365.91
6/2/2009,3423,3439.7,3170,3235.45,2700,3182.05
6/1/2009,3220,3400,3210,3367.6,3400,3312.02
5/29/2009,3161,3239.9,3115.2,3163,1800,3110.79
5/28/2009,3200,3220.05,3116.2,3151.95,1100,3099.93
5/27/2009,3260,3260,3140.05,3182.35,1700,3129.83
5/26/2009,3349,3490,3070,3094.15,7600,3043.08
5/25/2009,2989.8,3318,2825,3276.85,9900,3222.77
5/22/2009,2700,2850,2700,2748.2,2100,2702.84
5/21/2009,2550,2788,2540,2692.25,4700,2647.81
5/20/2009,2500,2559,2431,2536.1,3600,2494.24
5/19/2009,2549,2600,2400,2493.45,4300,2452.3
5/18/2009,2350.9,2350.9,2350.9,2350.9,0,2312.1
5/15/2009,2350,2425,2340.25,2350.9,1100,2312.1
5/14/2009,2210,2474.8,2210,2370,1200,2330.88
5/13/2009,2314.95,2337.8,2290,2292.1,900,2254.27
5/12/2009,2236.05,2299,2201.4,2283.45,1000,2245.76
5/11/2009,2350,2370,2255,2255.55,800,2218.32
5/8/2009,2350,2384.45,2311,2327.15,600,2288.74
5/7/2009,2260,2384,2260,2361.3,2000,2322.33
5/6/2009,2255.2,2385,2229,2253.95,2600,2216.75
5/5/2009,2318,2330,2280,2289.1,500,2251.32
5/4/2009,2211.25,2350,2211.25,2292.5,1500,2254.66
5/1/2009,2233.6,2233.6,2233.6,2233.6,0,2196.73
4/30/2009,2233.6,2233.6,2233.6,2233.6,0,2196.73
4/29/2009,2215,2325,2151,2233.6,3100,2196.73
4/28/2009,2239,2295,2162,2181.25,900,2145.25
4/27/2009,2253,2320,2223,2247.25,1000,2210.16
4/24/2009,2289,2300,2250,2250.2,1100,2213.06
4/23/2009,2247.7,2270,2160.3,2239.1,4600,2202.14
4/22/2009,2160,2359,2160,2247.7,2600,2210.6
4/21/2009,2121.3,2335,2121.3,2253,3900,2215.81
4/20/2009,2095,2245,2055,2157,1700,2121.4
4/17/2009,2135,2187,2050,2063.7,1400,2029.64
4/16/2009,2260,2280,2050,2083.05,1800,2048.67
4/15/2009,2250,2289,2205,2221.25,1900,2184.59
4/14/2009,2250.6,2250.6,2250.6,2250.6,0,2213.45
4/13/2009,2090,2344,2090,2250.6,8100,2213.45
4/10/2009,2047.55,2047.55,2047.55,2047.55,0,2013.76
4/9/2009,2100,2107.9,2040.15,2047.55,900,2013.76
4/8/2009,1900,2078,1900,2049.5,1100,2015.67
4/7/2009,1991.6,1991.6,1991.6,1991.6,0,1958.73
4/6/2009,1935,2050,1920,1991.6,2000,1958.73
4/3/2009,1921.8,1921.8,1921.8,1921.8,0,1890.08
4/2/2009,1804.05,1970,1804.05,1921.8,1400,1890.08
4/1/2009,1800,1860,1765,1822.3,2100,1792.22
3/31/2009,1641.8,1841,1641.8,1772.4,2100,1743.15
3/30/2009,1665.05,1700,1641.5,1658.4,400,1631.03
3/27/2009,1663.15,1710,1656.3,1690.55,800,1662.65
3/26/2009,1679.75,1690,1653.5,1663.15,500,1635.7
3/25/2009,1616,1677.9,1616,1642.05,800,1614.95
3/24/2009,1700,1735,1620,1631.9,2000,1604.97
3/23/2009,1620,1729.95,1613.25,1684.6,2400,1656.8
3/20/2009,1617.3,1632.7,1590,1600,300,1573.59
3/19/2009,1601,1700,1601,1633.65,1000,1606.69
3/18/2009,1602,1644,1602,1615.9,500,1589.23
3/17/2009,1555.1,1617.95,1551.05,1601.05,800,1574.62
3/16/2009,1550.5,1564.75,1535.05,1551.65,200,1526.04
3/13/2009,1549.8,1550,1515,1533.25,500,1507.94
3/12/2009,1522.35,1549.95,1522.35,1535.3,400,1509.96
3/11/2009,1537.75,1537.75,1537.75,1537.75,0,1512.37
3/10/2009,1537.75,1537.75,1537.75,1537.75,0,1512.37
3/9/2009,1511.95,1550,1511.95,1537.75,17300,1512.37
3/6/2009,1503,1550,1501,1542.85,600,1517.39
3/5/2009,1586.55,1630.5,1535.3,1543.6,1200,1504.35
3/4/2009,1610,1650,1580.1,1602.6,700,1561.85
3/3/2009,1625,1630,1600,1612.05,600,1571.06
3/2/2009,1616.9,1652,1616.7,1638.6,300,1596.94
2/27/2009,1623.5,1650,1623.05,1648.55,400,1606.64
